visitorScore,homeScore,innings,homeWin
2,8,6,true
2,10,7,true
3,10,8,true
0,0,0,false
0,0,1,false
0,0,2,false
2,0,3,false
2,0,4,false
3,0,5,false
5,0,6,false
5,1,7,false
5,1,8,false
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
0,0,5,false
0,0,6,false
1,0,7,false
1,0,8,false
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,0,4,true
0,0,5,true
0,0,6,true
0,0,7,true
0,0,8,true
0,0,9,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
3,0,4,false
5,0,5,false
5,3,6,false
5,3,7,false
10,3,8,false
0,0,0,true
0,0,1,true
0,2,2,true
2,2,3,true
3,2,4,true
3,3,5,true
3,5,6,true
3,8,7,true
3,8,8,true
0,0,0,true
0,0,1,true
0,1,2,true
0,1,3,true
0,1,4,true
0,5,5,true
1,5,6,true
1,5,7,true
1,5,8,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
1,0,5,false
3,0,6,false
4,0,7,false
4,0,8,false
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
1,0,4,false
2,0,5,false
2,0,6,false
3,0,7,false
3,0,8,false
0,0,0,false
3,2,1,false
3,2,2,false
3,3,3,false
3,3,4,false
3,3,5,false
3,3,6,false
3,3,7,false
6,3,8,false
0,0,0,true
0,0,1,true
0,1,2,true
0,1,3,true
0,1,4,true
0,5,5,true
0,5,6,true
0,5,7,true
0,5,8,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
1,0,4,false
1,0,5,false
1,0,6,false
1,0,7,false
1,1,8,false
1,1,9,false
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
0,1,5,false
0,1,6,false
1,1,7,false
4,1,8,false
0,0,0,false
0,2,1,false
0,2,2,false
4,2,3,false
4,3,4,false
5,4,5,false
5,4,6,false
5,5,7,false
5,5,8,false
5,5,9,false
5,5,10,false
5,5,11,false
0,0,0,true
0,2,1,true
0,2,2,true
0,3,3,true
0,5,4,true
0,5,5,true
0,6,6,true
0,6,7,true
0,6,8,true
0,0,0,true
0,1,1,true
1,1,2,true
2,1,3,true
3,1,4,true
4,2,5,true
5,2,6,true
7,2,7,true
7,8,8,true
0,0,0,false
1,0,1,false
1,0,2,false
1,0,3,false
1,0,4,false
1,0,5,false
1,0,6,false
1,0,7,false
1,0,8,false
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,0,4,true
1,0,5,true
1,0,6,true
1,0,7,true
1,1,8,true
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,0,4,true
0,3,5,true
1,4,6,true
1,4,7,true
1,4,8,true
0,0,0,false
0,5,1,false
1,5,2,false
2,5,3,false
2,5,4,false
4,6,5,false
5,6,6,false
7,7,7,false
7,7,8,false
7,7,9,false
7,7,10,false
7,7,11,false
0,0,0,false
4,1,1,false
4,1,2,false
5,1,3,false
5,1,4,false
5,1,5,false
7,3,6,false
7,3,7,false
7,4,8,false
0,0,0,false
0,0,1,false
1,1,2,false
1,1,3,false
6,4,4,false
7,4,5,false
7,6,6,false
7,6,7,false
7,6,8,false
0,0,0,false
0,0,1,false
2,0,2,false
3,0,3,false
3,0,4,false
3,1,5,false
3,2,6,false
4,2,7,false
4,2,8,false
0,0,0,true
1,2,1,true
1,3,2,true
3,5,3,true
4,5,4,true
4,5,5,true
5,5,6,true
5,5,7,true
5,6,8,true
0,0,0,false
2,0,1,false
2,0,2,false
2,0,3,false
2,0,4,false
2,0,5,false
2,0,6,false
2,0,7,false
2,1,8,false
0,0,0,false
0,0,1,false
2,0,2,false
2,3,3,false
4,3,4,false
4,3,5,false
4,3,6,false
4,3,7,false
4,3,8,false
4,4,9,false
0,0,0,true
0,2,1,true
0,2,2,true
0,2,3,true
0,2,4,true
0,2,5,true
0,2,6,true
0,2,7,true
0,2,8,true
0,0,0,false
0,0,1,false
0,0,2,false
2,1,3,false
2,1,4,false
2,1,5,false
2,1,6,false
2,1,7,false
2,1,8,false
0,0,0,false
1,1,1,false
1,1,2,false
1,1,3,false
2,1,4,false
4,3,5,false
5,4,6,false
5,4,7,false
5,4,8,false
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,0,4,true
0,2,5,true
0,2,6,true
0,2,7,true
0,2,8,true
0,0,0,true
0,3,1,true
0,3,2,true
0,4,3,true
0,9,4,true
0,9,5,true
0,9,6,true
0,9,7,true
0,10,8,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
0,0,5,false
1,0,6,false
1,0,7,false
2,0,8,false
0,0,0,false
1,0,1,false
